Company_name,Status_on_IPO_and_M&A,Category,Country,Headquarter,Date_found,Date_joined,Date_exited,Funding_in_USD,Funding_rounds,First_funding_round_date,Last_funding_round_date,Patents_Granted,Trademarks_Registered,Valuation_at_IPO,Money_Raised_at_IPO,No._of_employees,Female_founder,Years_to_be_Unicorn,Duration_between_founded_to_reaching_a_unicorn_list_in_days,Duration_between_unicorn_listed_date_and_exit_date_in_days,Duration_between_first_funding_round_and_last_funding_round_in_days,Duration_between_founded_to_reaching_ a_unicorn_list_in_months,Duration_between_unicorn_listed_date_and_exit_date_in_months,Duration_between_first_funding_round_and_last_funding_round_in_months,Duration_between_founded_to_reaching_a_unicorn_list_in_years,Duration_between_unicorn_listed_date_and_exit_date_in_years,Duration_between_first_funding_round_and_last_funding_round_in_years,Duration_between_founded_to_reaching_a_unicorn_list_in_quarters,Duration_between_unicorn_listed_date_and_exit_date_in_quarters,Duration_between_first_funding_round_and_last_funding_round_in_quarters,Status_target_variable
Arrival,IPO,Auto & transportation,United Kingdom,"London, England, United Kingdom",01-01-2015,15-01-2020,25-03-2021,629369612,3,,,35,9,13000000000,660000000,5000,No,6,1840,435,0,60,14,0,5,1,0,15,4,19,Yes
Atom Bank,Unexplained Exit,Fintech,United Kingdom,"Durham, Durham, United Kingdom",01-03-2014,08-03-2016,07-03-2018,639755613,9,04-12-2014,06-04-2021,4,20,,,500,No,5,738,729,2315,24,23,76,2,1,6,6,6,14,No
Aurora,IPO,Auto & transportation,United States,"Pittsburgh, Pennsylvania, United States",01-01-2017,07-02-2019,09-08-2021,2090000000,7,06-03-2017,04-11-2021,28,3,14000000000,2500000000,5000,No,3,767,914,1704,25,30,55,2,2,4,6,8,19,Yes
Auth0,M&A,Cybersecurity,United States,"Bellevue, Washington, United States",01-02-2013,12-03-2020,14-07-2020,332275000,10,17-09-2014,01-12-2020,4,9,,,1000,No,8,2596,124,2267,85,4,74,7,0,6,21,1,23,Yes
AUTO1 Group,IPO,E-commerce & direct-to-consumer,Germany,"Berlin, Berlin, Germany",01-01-2012,06-07-2015,04-03-2021,1387053390,10,15-01-2013,30-07-2020,0,5,7900000000,1800000000,5000,No,4,1282,2068,2753,42,67,90,3,5,7,11,17,24,Yes
Avant,Private,Artificial intelligence,United States,"Chicago, Illinois, United States",01-11-2012,17-12-2012,07-04-2021,1582900814,11,08-05-2013,21-04-2021,0,4,,,501,No,1,46,3033,2905,1,99,95,0,8,7,0,25,13,No
Away,Private,E-commerce & direct-to-consumer,United States,"New York, New York, United States",01-02-2015,15-05-2019,,181000000,6,01-01-2015,14-05-2019,33,20,,,1000,Yes,5,1564,,1594,51,,52,4,,4,13,0,365,No
Babylon Health/ Babylon,IPO,Artificial intelligence,United Kingdom,"London, England, United Kingdom",01-01-2013,02-08-2019,22-10-2021,1131090847,7,,22-10-2021,32,7,4200000000,460000000,5000,No,7,2404,812,44491,79,26,1461,6,2,121,20,7,9,Yes
Banma Network Technologies/ Banma Information Technology,Private,Auto & transportation,China,"Shanghai, Shanghai, China",01-01-2015,01-09-2015,13-09-2018,696743025,2,13-09-2018,14-07-2021,,,,,250,No,4,243,1108,1035,8,36,34,0,3,2,2,9,12,No
BenevolentAI,Private,Artificial intelligence,United Kingdom,"London, England, United Kingdom",13-11-2013,02-06-2015,,292000000,3,26-08-2015,17-09-2019,0,10,,,100,No,2,566,,1483,18,,48,1,,4,5,0,25,No
BigBasket,M&A,"Supply chain, logistics, & delivery",India,"Bangalore, Karnataka, India",01-10-2011,06-05-2019,24-03-2020,1119863468,17,01-12-2011,15-04-2020,,,,,10000,No,8,2774,323,3058,91,10,100,7,0,8,23,3,13,Yes
Bird Rides/ Bird,IPO,Auto & transportation,United States,"Santa Monica, California, United States",01-01-2017,30-05-2018,05-11-2021,783015000,12,09-06-2017,05-11-2021,5,8,2300000000,428000000,1000,No,2,514,1255,1610,16,41,52,1,3,4,4,10,13,Yes
Bitfury/ Bitfury Group,Private,Hardware,Netherlands,"Amsterdam, Noord-Holland, The Netherlands",01-01-2011,06-11-2018,05-03-2021,170000000,6,30-05-2014,31-07-2018,,,,,1000,No,8,2866,850,1523,94,27,50,7,2,4,24,7,3,No
Bitmain Technologies/ Bitmain,Private,Hardware,China,"Beijing, Beijing, China",01-01-2013,06-07-2018,,7647000000,4,04-09-2017,07-08-2018,,,,,,No,6,2012,,337,66,,11,5,,0,17,0,23,No
Bolt,Private,Fintech,United States,"Tallinn, Harjumaa, Estonia",01-08-2013,08-10-2021,,2043025562,12,23-04-2014,11-01-2022,0,10,,,5000,No,9,2990,,2820,98,,92,8,,7,25,0,20,No
Branch,Private,Mobile & telecommunications,United States,"Redwood City, California, United States",15-04-2014,10-09-2018,,558120000,7,01-06-2014,01-12-2020,0,2,,,250,Yes,5,1609,,2375,52,,78,4,,6,13,0,14,No
Brex,Private,Fintech,United States,"San Francisco, California, United States",01-03-2017,05-10-2018,,1457120000,11,20-03-2017,22-10-2021,1,4,,,1000,No,2,583,,1677,19,,55,1,,4,5,0,30,No
Butterfly Network,IPO,Artificial intelligence,United States,"Guilford, Connecticut, United States",01-01-2011,13-07-2018,16-02-2021,525000000,4,01-01-2011,16-02-2021,238,12,1500000000,,250,No,8,2750,949,3699,90,31,121,7,2,10,23,8,25,Yes
BYJU'S/ BYJUÃ¢â‚¬â„¢S,Private,Edtech,India,"Bangalore, Karnataka, India",30-11-2011,25-07-2017,,4456239473,21,01-09-2013,08-11-2021,0,2,,,5000,Yes,6,2064,,2990,67,,98,5,,8,17,0,25,No
Bytedance,Private,Artificial intelligence,China,"Shanghai, Shanghai, China",01-03-2012,07-04-2017,,9405000000,12,01-07-2012,11-12-2020,0,3,,,10000,No,6,1863,,3085,61,,101,5,,8,15,0,10,No
BYTON,Private,Auto & transportation,China,"Nanjing, Jiangsu, China",01-01-2016,20-04-2018,,1200000000,5,12-07-2016,26-12-2019,49,0,,,5000,No,3,840,,1262,27,,41,2,,3,7,0,23,No
Calm,Private,Consumer & retail,United States,"San Francisco, California, United States",04-05-2012,06-02-2019,,218043000,8,26-02-2013,08-12-2020,0,25,,,250,No,7,2469,,2842,81,,93,6,,7,20,0,26,No
Canva,Private,Internet software & services,Australia,"Sydney, New South Wales, Australia",01-01-2012,08-01-2018,,572555000,16,08-03-2013,14-09-2021,89,34,,,1000,Yes,7,2199,,3112,72,,102,6,,8,18,0,24,No
Carbon,Private,Hardware,United States,"Redwood City, California, United States",01-01-2013,20-08-2015,,683350000,8,31-12-2013,15-12-2021,229,7,,,500,No,3,961,,2906,31,,95,2,,7,8,0,27,No
Carta,Private,Fintech,United States,"San Francisco, California, United States",01-01-2012,06-05-2019,,1127800000,15,01-10-2012,13-08-2021,4,6,,,5000,No,8,2682,,3238,88,,106,7,,8,22,0,15,No
Casper,IPO,E-commerce & direct-to-consumer,United States,"New York, New York, United States",01-01-2014,27-03-2019,05-02-2020,339700000,5,25-02-2014,27-03-2019,25,43,476000000,100000000,1000,No,6,1911,315,1856,62,10,61,5,0,5,16,3,15,Yes
Celonis,Acquired,Data management & analytics,Germany,"Munich, Bayern, Germany",01-01-2011,26-06-2018,04-10-2021,1367500000,4,07-06-2016,02-06-2021,11,22,,,5000,No,8,2733,1196,1821,89,39,59,7,3,4,22,10,10,Yes
CGTZ,Private,Fintech,China,"Hangzhou, Zhejiang, China",01-10-2013,21-02-2017,,521062626,4,02-02-2015,04-06-2018,,,,,50,No,4,1239,,1218,40,,40,3,,3,10,0,8,No
Checkout.com,Acquired,Fintech,United Kingdom,"London, England, United Kingdom",01-01-2012,02-05-2019,15-06-2021,1830000000,3,02-05-2019,12-01-2022,0,3,,,5000,No,8,2678,775,986,88,25,32,7,2,2,22,6,22,Yes
Checkr,Private,Internet software & services,United States,"San Francisco, California, United States",01-01-2014,01-10-2018,19-09-2019,559000000,9,16-07-2014,01-10-2021,1,3,,,1000,No,6,1734,353,2634,57,11,86,4,0,7,14,3,24,No
Chime,Private,Fintech,United States,"San Francisco, California, United States",01-01-2013,05-03-2019,16-08-2021,2292603117,10,30-08-2013,13-08-2021,0,3,,,5000,No,7,2254,895,2905,74,29,95,6,2,7,19,7,23,No
Circle,IPO,Fintech,United States,"Boston, Massachusetts, United States",01-01-2013,15-05-2018,05-10-2018,711000000,10,31-10-2013,29-05-2021,,,,,250,No,6,1960,143,2767,64,4,90,5,0,7,16,1,26,Yes
ClassPass,M&A,Internet software & services,United States,"New York, New York, United States",01-01-2011,08-01-2020,02-03-2020,549243000,12,01-07-2011,08-01-2020,0,7,,,1000,Yes,10,3294,54,3113,108,1,102,9,0,8,27,0,16,Yes
Cloudwalk/ CloudWalk Technology,Private,Artificial intelligence,China,"Beijing, Beijing, China",01-01-2015,08-10-2018,,804747563,7,01-04-2015,01-06-2020,,,,,5000,No,4,1376,,1888,45,,62,3,,5,11,0,19,No
Clover Health,IPO,Health,United States,"Nashville, Tennessee, United States",01-01-2014,10-05-2017,17-11-2021,1325000000,7,23-07-2014,08-01-2021,1,5,7000000000,1200000000,500,No,4,1225,1652,2361,40,54,77,3,4,6,10,14,15,Yes
CMR Surgical,Private,Health,United Kingdom,"Cambridge, Cambridgeshire, United Kingdom",27-01-2014,17-09-2019,,974681073,5,18-07-2016,28-06-2021,149,16,,,500,No,6,2059,,1806,67,,59,5,,4,17,0,19,No
Cohesity,Acquired,Data management & analytics,United States,"San Jose, California, United States",01-06-2013,11-06-2018,08-05-2019,660000000,5,15-11-2013,09-04-2020,105,9,,,5000,No,6,1836,331,2337,60,10,76,5,0,6,15,3,0,Yes
Coinbase,IPO,Fintech,United States,"San Francisco, California, United States",20-06-2012,10-08-2017,12-01-2022,547309825,18,28-04-2021,28-04-2021,33,17,86000000000,,5000,No,6,1877,1616,0,61,53,0,5,4,0,15,13,19,Yes
Confluent,IPO,Data management & analytics,United States,"Mountain View, California, United States",23-09-2014,02-08-2018,23-01-2019,455900000,6,06-11-2014,21-04-2021,8,7,9100000000,828000000,5000,Yes,5,1409,174,2358,46,5,77,3,0,6,12,1,17,Yes
Convoy,Private,"Supply chain, logistics, & delivery",United States,"Seattle, Washington, United States",01-01-2015,21-09-2018,,675500000,10,26-10-2015,30-07-2021,,,,,1000,No,4,1359,,2104,44,,69,3,,5,11,0,26,No
Coursera,IPO,Edtech,United States,"Mountain View, California, United States",01-01-2012,25-04-2019,10-01-2022,446800000,19,18-04-2012,23-10-2020,20,12,4300000000,520000000,5000,Yes,8,2671,991,3110,87,32,102,7,2,8,22,8,19,Yes
CrowdStrike,IPO,Cybersecurity,United States,"Sunnyvale, California, United States",01-01-2011,01-05-2017,01-11-2021,481000000,7,23-02-2012,19-06-2018,90,19,6600000000,612000000,1001,No,7,2312,1645,2308,76,54,75,6,4,6,19,14,23,Yes
Cybereason,Acquired,Cybersecurity,United States,"Boston, Massachusetts, United States",01-01-2012,06-08-2019,20-07-2021,713600000,8,11-02-2014,19-10-2021,18,4,,,5000,No,8,2774,714,2807,91,23,92,7,1,7,23,6,18,Yes
Dada-JD Daojia,IPO,E-commerce & direct-to-consumer,China,"Shanghai, Shanghai, China",01-06-2014,31-12-2015,05-06-2020,1270000000,7,01-06-2014,05-06-2020,0,2,3500000000,320000000,5000,No,2,578,1618,2196,18,53,72,1,4,6,5,13,15,Yes
Darktrace,IPO,Artificial intelligence,United Kingdom,"Cambridge, Cambridgeshire, United Kingdom",01-01-2013,15-05-2018,30-04-2021,230500000,9,16-09-2013,26-09-2018,2,0,1700000000,165100000,5000,Yes,6,1960,1081,1836,64,35,60,5,2,5,16,9,24,Yes
Databricks,Acquired,Data management & analytics,United States,"San Francisco, California, United States",01-01-2013,05-02-2019,06-10-2021,3497000000,9,25-09-2013,31-08-2021,21,6,,,5000,No,7,2226,974,2897,73,32,95,6,2,7,18,8,26,Yes
Dataiku,Private,Internet software & services,United States,"New York, New York, United States",01-01-2013,04-12-2019,,646835229,10,01-01-2013,05-08-2021,0,1,,,1000,No,7,2528,,3138,83,,103,6,,8,21,0,25,No
DataRobot,Private,Artificial intelligence,United States,"Boston, Massachusetts, United States",01-06-2012,29-07-2019,26-07-2021,1000598000,13,14-01-2013,29-06-2021,44,14,,,5000,No,8,2614,728,3088,85,23,101,7,1,8,21,6,13,No
Dave,Private,Fintech,United States,"Los Angeles, California, United States",28-10-2016,30-09-2019,,176301000,7,02-10-2016,28-01-2021,0,4,,,250,No,3,1067,,1579,35,,51,2,,4,9,0,19,No
Delhivery,Acquired,"Supply chain, logistics, & delivery",India,"Gurgaon, Haryana, India",01-05-2011,27-02-2019,08-12-2021,1412892455,13,15-07-2015,05-01-2022,0,1,,,10001,No,8,2859,1015,2366,93,33,77,7,2,6,23,8,22,Yes
Deliveroo,IPO,"Supply chain, logistics, & delivery",United Kingdom,"London, England, United Kingdom",01-01-2012,25-09-2017,10-01-2022,1712682541,13,01-05-2014,09-08-2021,0,13,7590000000,1500000000,10000,No,6,2094,1568,2657,68,51,87,5,4,7,17,13,23,Yes
Deposit Solutions,Unexplained Exit,Fintech,Germany,"Hamburg, Hamburg, Germany",01-01-2011,01-01-2011,,198871071,6,13-01-2012,19-09-2019,0,2,,,250,No,   ,0,,2806,0,,92,0,,7,0,0,15,No
Desktop Metal,IPO,Hardware,United States,"Burlington, Massachusetts, United States",01-01-2015,17-07-2017,,711760835,10,27-10-2015,04-12-2020,129,27,2500000000,,250,No,3,928,,1865,30,,61,2,,5,8,0,12,Yes
Devoted Health,Private,Health,United States,"Waltham, Massachusetts, United States",01-03-2017,16-10-2018,,1962000000,5,20-10-2017,08-10-2021,0,2,,,5000,No,2,594,,1449,19,,47,1,,3,5,0,16,No
Dianrong,Private,E-commerce & direct-to-consumer,China,"Shanghai, Shanghai, China",17-02-2013,02-08-2017,,549000000,8,31-12-2013,21-06-2019,14,1,,,5000,No,5,1627,,1998,53,,65,4,,5,13,0,7,No
Didi Chuxing/ Didi,IPO,Auto & transportation,China,"Beijing, Beijing, China",01-09-2012,31-03-2015,,22746700000,26,18-11-2014,01-03-2017,0,12,73000000000,4400000000,10001,No,3,941,,834,30,,27,2,,2,8,0,28,Yes
DigitalOcean,IPO,Internet software & services,United States,"New York, New York, United States",01-01-2012,14-05-2020,23-03-2021,491275418,20,25-05-2012,13-09-2021,3,13,4950000000,775500000,1000,No,9,3056,313,3398,100,10,111,8,0,9,25,3,28,Yes
Discord,Private,Internet software & services,United States,"San Francisco, California, United States",01-01-2015,20-04-2018,13-07-2021,982600000,15,11-07-2012,16-09-2021,0,5,,,1000,No,4,1205,1180,3354,39,38,110,3,3,9,10,10,17,No
Doctolib,Acquired,Health,France,"Paris, Ile-de-France, France",01-01-2013,19-03-2019,11-01-2022,266655052,7,01-07-2013,19-03-2019,0,8,,,5000,No,7,2268,1029,2087,74,33,68,6,2,5,19,8,22,Yes
DoorDash,IPO,"Supply chain, logistics, & delivery",United States,"San Francisco, California, United States",01-01-2013,01-03-2018,09-11-2021,2471820000,13,01-03-2013,18-06-2020,234,44,39000000000,3370000000,10001,No,6,1885,1349,2666,62,44,87,5,3,7,16,11,13,Yes
Douyu TV,M&A,Media & Entertainment,China,"Wuhan, Hubei, China",01-01-2013,08-03-2018,17-07-2019,1127827858,5,01-01-2014,08-03-2018,268,4,4000000000,775000000,500,No,6,1892,496,1527,62,16,50,5,1,4,16,4,12,Yes
Dt Dream,Private,Data management & analytics,China,"Hangzhou, Zhejiang, China",01-03-2015,08-06-2017,,266589326,3,01-08-2015,26-09-2019,,,,,250,No,3,830,,1517,27,,49,2,,4,7,0,27,No
Duolingo,IPO,Education,United States,"Pittsburgh, Pennsylvania, United States",01-01-2011,04-12-2019,28-07-2021,183300000,9,19-10-2011,18-11-2020,1,7,3660000000,520000000,1000,No,   ,3259,602,3318,107,19,108,8,1,9,27,5,11,Yes
EBANX,Private,Fintech,Brazil,"Curitiba, Parana, Brazil",01-02-2012,16-10-2019,,460000000,3,01-12-2017,15-06-2021,,,,,1000,No,8,2814,,1292,92,,42,7,,3,23,0,14,No
Emerging markets Property Group/ Emerging Markets Property Group (EMPG),Private,Other,United Arab Emirates,"Dubai, Dubai, United Arab Emirates",01-01-2015,28-04-2020,,279000000,5,25-09-2015,28-04-2020,,,,,,No,6,1944,,1677,63,,55,5,,4,16,0,17,No
MEGVII,Private,Artificial intelligence,China,"Beijing, Beijing, China",08-10-2011,31-10-2017,,1357000000,7,18-07-2013,08-05-2019,56,17,,,5000,No,7,2215,,2120,72,,69,6,,5,18,0,10,No
Fair,Private,Auto & transportation,United States,"Santa Monica, California, United States",01-01-2016,20-12-2018,,2101000000,13,20-04-2016,17-09-2019,10,4,,,250,No,3,1084,,1245,35,,40,2,,3,9,0,15,No
Faire,Private,Artificial intelligence,United States,"San Francisco, California, United States",01-01-2017,30-10-2019,,1095950000,11,19-12-2016,16-11-2021,0,3,,,1000,Yes,3,1032,,1793,33,,58,2,,4,8,0,24,No
Figma,Private,Internet software & services,United States,"San Francisco, California, United States",01-10-2012,30-04-2020,,332874996,6,24-06-2013,24-06-2021,6,7,,,500,No,8,2768,,2922,90,,96,7,,8,23,0,9,No
Figure Technologies/ Figure,Unexplained Exit,Fintech,United States,"San Francisco, California, United States",01-01-2018,05-11-2019,03-08-2021,1551588888,9,26-05-2018,20-05-2021,0,12,,,500,No,2,673,637,1090,22,20,35,1,1,2,6,5,21,No
Flexport,Private,"Supply chain, logistics, & delivery",United States,"San Francisco, California, United States",01-01-2013,30-04-2018,,2239000000,15,28-02-2014,11-01-2021,2,9,,,5000,Yes,6,1945,,2509,63,,82,5,,6,16,0,4,No
FlixMobility/ FlixBus,Private,Auto & transportation,Germany,"Munich, Bayern, Germany",01-01-2011,18-07-2019,,1213056722,7,07-07-2020,13-12-2021,0,44,,,5000,No,9,3120,,524,102,,17,8,,1,26,0,,No
Flywire,IPO,Fintech,United States,"Boston, Massachusetts, United States",15-01-2011,0,15-12-2021,323200000,9,28-10-2021,04-03-2021,0,11,2400000000,251000000,1000,No,   ,,,-238,,,,,,,0,0,31,Yes
Formlabs,Private,Hardware,United States,"Somerville, Massachusetts, United States",01-01-2011,01-08-2018,,253699968,9,01-01-2011,19-05-2021,94,22,,,1000,No,8,2769,,3791,91,,124,7,,10,23,0,15,No
Futu Holdings,IPO,Fintech,China,"Hong Kong, Hong Kong Island, Hong Kong",01-01-2012,0,08-03-2019,285500000,4,01-03-2014,06-03-2019,,,1700000000,90000000,1000,No,   ,,,1831,,,60,,,5,0,0,12,Yes
Geek+,Private,Hardware,China,"Beijing, Beijing, China",01-01-2015,21-11-2018,,439441286,6,01-05-2016,17-06-2020,,,,,500,No,4,1420,,1508,46,,49,3,,4,12,0,13,No
GitLab,IPO,Internet software & services,United States,"San Francisco, California, United States",01-01-2011,19-09-2018,14-10-2021,413500000,9,09-07-2015,17-09-2019,4,0,11000000000,650000000,5000,No,8,2818,1121,1531,92,36,50,7,3,4,23,9,16,Yes
Globality,Private,Artificial intelligence,United States,"Palo Alto, California, United States",01-01-2015,22-01-2019,,310550000,5,22-09-2015,21-01-2021,1,9,,,500,No,5,1482,,1948,48,,63,4,,5,12,0,16,No
Glovo,Private,"Supply chain, logistics, & delivery",Spain,"Barcelona, Catalonia, Spain",01-03-2015,19-12-2019,,1162249826,13,14-12-2015,31-03-2021,1,21,,,5000,No,5,1754,,1934,57,,63,4,,5,14,0,27,No
GoodRx,IPO,Health,United States,"Santa Monica, California, United States",01-01-2011,06-08-2018,13-05-2021,910300000,5,01-11-2011,13-09-2020,4,8,12670000000,1142000000,500,No,8,2774,1011,3239,91,33,106,7,2,8,23,8,7,Yes
Grab,Private,Auto & transportation,Singapore,"Singapore, Central Region, Singapore",01-06-2012,04-12-2014,,15522750000,34,06-08-2019,02-12-2021,46,49,40000000000,4500000000,10000,No,3,916,,849,30,,27,2,,2,8,0,13,No
Grail,M&A,Health,United States,"Menlo Park, California, United States",01-01-2016,01-03-2017,,2004655040,5,01-01-2016,06-05-2020,84,11,,,1000,Yes,2,425,,1587,14,,52,1,,4,4,0,15,Yes
Graphcore,Private,Artificial intelligence,United Kingdom,"Bristol, Bristol, City of, United Kingdom",01-01-2016,18-12-2018,,682000000,7,31-10-2016,05-11-2021,77,11,,,500,No,3,1082,,1831,35,,60,2,,5,9,0,5,No
Grove Collaborative,Private,E-commerce & direct-to-consumer,United States,"San Francisco, California, United States",01-01-2012,06-09-2019,,474500000,6,25-04-2019,10-12-2020,5,24,,,1000,No,8,2805,,595,92,,19,7,,1,23,0,18,No
Chehaoduo,Private,E-commerce & direct-to-consumer,China,"Beijing, Beijing, China",01-01-2015,12-03-2016,,3870000000,9,10-07-2015,10-06-2021,,,,,10001,No,2,436,,2162,14,,71,1,,5,4,0,17,No
Guild Education,Private,Internet software & services,United States,"Denver, Colorado, United States",01-06-2015,13-11-2019,,378500000,7,24-09-2015,02-06-2021,0,1,,,500,No,5,1626,,2078,53,,68,4,,5,13,0,19,No
Gusto,Private,Fintech,United States,"San Francisco, California, United States",01-11-2011,18-12-2015,,691100000,16,06-04-2015,10-08-2021,10,1,,,5000,Yes,5,1508,,2318,49,,76,4,,6,12,0,30,No
Gympass,Private,Internet software & services,United States,"New York, New York, United States",01-01-2012,12-06-2019,,525410314,7,01-01-2012,23-12-2021,0,3,,,5000,No,8,2719,,3644,89,,119,7,,9,22,0,19,No
HashiCorp,Private,Internet software & services,United States,"San Francisco, California, United States",01-01-2012,01-11-2018,,349175000,5,10-12-2014,16-03-2021,0,20,16200000000,1224000000,5000,No,7,2496,,2288,82,,75,6,,6,21,0,14,No
HeadSpin,Acquired,Mobile & telecommunications,United States,"Palo Alto, California, United States",15-08-2015,25-02-2020,07-03-2019,115700000,5,15-08-2015,25-02-2020,,,,,250,No,5,1655,,1655,54,,54,4,,4,14,0,10,Yes
Hims/ Hims & Hers,IPO,Health,United States,"San Francisco, California, United States",01-01-2017,29-01-2019,24-06-2021,233200000,7,02-11-2017,20-01-2021,0,18,1600000000,280000000,500,No,3,758,877,1175,24,28,38,2,2,3,6,7,16,Yes
Hippo Insurance,IPO,Fintech,United States,"Palo Alto, California, United States",01-01-2015,24-07-2019,26-03-2021,1259000000,9,01-04-2016,03-08-2021,,,5000000000,230000000,500,Yes,5,1665,611,1950,54,20,64,4,1,5,14,5,17,Yes
Horizon Robotics,Private,Artificial intelligence,China,"Haidian, Beijing, China",01-01-2015,16-10-2015,27-02-2019,1600300002,9,16-10-2015,03-08-2021,11,16,,,500,No,5,288,1230,2118,9,40,69,0,3,5,2,10,14,No
Huimin,Private,E-commerce & direct-to-consumer,China,"Beijing, Beijing, China",01-05-2013,05-09-2016,,516946860,3,01-01-2015,10-09-2019,,,,,500,Yes,4,1223,,1713,40,,56,3,,4,10,0,19,No
Ibotta,Private,Fintech,United States,"Denver, Colorado, United States",01-01-2011,06-08-2019,,92915076,7,23-04-2013,06-08-2019,3,5,,,500,No,9,3139,,2296,103,,75,8,,6,26,0,0,No
iCarbonX,Private,Artificial intelligence,China,"Shenzhen, Guangdong, China",27-10-2015,12-04-2016,,200000000,2,02-07-2016,15-07-2016,0,24,,,250,No,1,168,,13,5,,0,0,,0,1,0,25,No
Illumio,Private,Cybersecurity,United States,"Sunnyvale, California, United States",01-01-2013,14-04-2015,,557500000,6,14-01-2013,24-06-2021,56,11,,,500,No,3,833,,3083,27,,101,2,,8,7,0,31,No
Impossible Foods,Private,Consumer & retail,United States,"Redwood City, California, United States",01-01-2011,13-05-2019,,2591537000,20,14-07-2011,30-11-2021,41,31,,,1000,No,9,3054,,3792,100,,124,8,,10,25,0,11,No
Improbable,Private,Other,United Kingdom,"London, England, United Kingdom",01-01-2012,11-05-2017,,604094860,6,01-12-2014,26-07-2018,13,19,,,1000,No,6,1957,,1333,64,,43,5,,3,16,0,17,No
Indigo Ag/ Indigo,Private,Artificial intelligence,United States,"Boston, Massachusetts, United States",01-01-2014,26-09-2017,,1169000000,11,13-11-2014,03-08-2020,47,26,,,,No,4,1364,,2090,44,,68,3,,5,11,0,22,No
Infinidat,Private,Hardware,United States,"Herzliya, Tel Aviv, Israel",01-01-2011,29-04-2015,,325000000,5,01-01-2013,11-06-2020,97,35,,,500,No,5,1579,,2718,51,,89,4,,7,13,0,13,No
Instabase,Private,Data management & analytics,United States,"San Francisco, California, United States",01-01-2015,21-10-2019,,131970000,4,08-06-2015,21-10-2019,2,1,,,250,No,5,1754,,1596,57,,52,4,,4,14,0,28,No
Instacart,Private,"Supply chain, logistics, & delivery",United States,"San Francisco, California, United States",01-01-2012,30-12-2014,,2919023124,20,01-06-2012,01-11-2021,268,32,,,10000,No,3,1094,,3440,35,,113,2,,9,9,0,17,No
Intellifusion,Private,Artificial intelligence,China,"Shenzhen, Guangdong, China",01-01-2014,22-03-2019,,173494166,5,20-07-2015,07-04-2021,,,,,,No,6,1906,,2088,62,,68,5,,5,16,0,27,No
Intercom,Private,Internet software & services,United States,"San Francisco, California, United States",01-08-2011,27-03-2018,,291820000,10,25-01-2012,10-02-2021,0,6,,,1000,No,7,2430,,3304,79,,108,6,,9,20,0,29,No
InVision,Private,Internet software & services,United States,"New York, New York, United States",01-01-2011,01-11-2017,,356200000,10,02-03-2011,02-12-2020,2,9,,,500,No,7,2496,,3563,82,,117,6,,9,21,0,11,No
JOLLY Information Technology/ Jollychic,Private,E-commerce & direct-to-consumer,China,"Hangzhou, Zhejiang, China",01-01-2012,29-05-2018,,95798798,3,01-01-2016,05-08-2019,0,10,,,5000,No,7,2340,,1312,76,,43,6,,3,19,0,28,No
Jumia Group,IPO,E-commerce & direct-to-consumer,Nigeria,"Lagos, Lagos, Nigeria",01-01-2012,0,12-04-2019,1249310292,7,01-01-2012,30-03-2021,,,2200000000,196000000,10000,No,   ,,,3376,,,110,,,9,0,0,15,Yes
JUUL Labs/ JUUL,Private,Consumer & retail,United States,"San Francisco, California, United States",01-01-2015,20-12-2017,,15129032811,12,20-03-2015,06-02-2020,201,64,,,5000,No,3,1084,,1784,35,,58,2,,4,9,0,25,No
KeepTruckin,Private,"Supply chain, logistics, & delivery",United States,"San Francisco, California, United States",01-01-2013,23-04-2019,,417300000,8,01-07-2013,02-12-2021,2,4,,,5000,No,7,2303,,3076,75,,101,6,,8,19,0,10,No
KK Group,Private,E-commerce & direct-to-consumer,China,"Dongguan, Hebei, China",01-01-2014,23-10-2019,,612128607,5,09-04-2018,05-07-2021,,,,,250,No,6,2121,,1183,69,,38,5,,3,17,0,18,No
KLOOK,Private,Travel,China,"Central, Hong Kong Island, Hong Kong",01-01-2014,07-08-2018,,721500000,7,01-12-2014,26-01-2021,0,1,,,5000,No,5,1679,,2248,55,,73,4,,6,14,0,11,No
Knotel,M&A,Other,United States,"New York, New York, United States",01-01-2016,21-01-2019,21-08-2019,560000000,5,15-02-2016,21-08-2019,,,,,500,No,4,1116,212,1283,36,7,42,3,0,3,9,2,15,Yes
Knowbox,Private,Edtech,China,"Beijing, Beijing, China",01-01-2014,30-05-2019,,305756292,6,19-07-2014,30-05-2019,,,,,500,No,6,1975,,1776,64,,58,5,,4,16,0,26,No
Kuaishou/ Kuaishou Technology,IPO,Mobile & telecommunications,China,"Beijing, Beijing, China",01-01-2011,0,05-02-2021,4370000000,9,03-06-2012,01-01-2021,,,1.50E+11,5400000000,10001,No,   ,,,3134,,,102,,,8,0,0,19,Yes
Kujiale,Private,Internet software & services,China,"Hangzhou, Zhejiang, China",01-01-2011,25-10-2019,,234835624,6,01-05-2013,25-10-2019,19,3,,,250,No,9,3219,,2368,105,,77,8,,6,26,0,19,No
Lalamove,Private,"Supply chain, logistics, & delivery",China,"Hong Kong, Hong Kong Island, Hong Kong",01-12-2013,21-02-2019,,2476500000,9,03-11-2014,20-01-2021,,,,,1000,No,6,1908,,2270,62,,74,5,,6,16,0,9,No
